Endereco,Lat,Lng
"ANTÔNIO DE CARVALHO & PEDESTRE Nº 1515 SN (PRÓX. FCO. VALDOMIRO LORENZ), Porto Alegre, RS, Brasil","-30,0548979","-51,1472625"
"ANTÔNIO DE CARVALHO & PEDESTRE Nº 1684 NS, Porto Alegre, RS, Brasil","-30,0548979","-51,1472625"
"ANTÔNIO DE CARVALHO & PEDESTRE Nº 2210 NS (PRÓX. JOSÉ ÂNGELO BETTEGA CASSOL), Porto Alegre, RS, Brasil","-30,0494095","-51,1437967"
"ANTÔNIO DE CARVALHO & PEDESTRE Nº 2249 SN (PRÓX. JOSÉ ÂNGELO BETTEGA CASSOL), Porto Alegre, RS, Brasil","-30,0548979","-51,1472625"
"ANTÔNIO DE CARVALHO & PEDESTRE Nº 2600 NS (CORSAN), Porto Alegre, RS, Brasil","-30,0548979","-51,1472625"
"ANTÔNIO DE CARVALHO & PEDESTRE Nº 2667 SN (CORSAN), Porto Alegre, RS, Brasil","-30,0548979","-51,1472625"
"ANTÔNIO DE CARVALHO & PEDESTRE Nº 287 SN (PRÓX. IPIRANGA), Porto Alegre, RS, Brasil","-30,0548979","-51,1472625"
"ANTÔNIO DE CARVALHO & PEDESTRE TERMINAL ANTÔNIO DE CARVALHO SN, Porto Alegre, RS, Brasil","-30,066499","-51,1496437"
"ANTÔNIO JOAQUIM MESQUITA & SAPÉ, Porto Alegre, RS, Brasil","-30,0180729","-51,1610752"
"ANTÔNIO JOAQUIM MESQUITA & UMBU, Porto Alegre, RS, Brasil","-30,0151412","-51,1614782"
"ANTÔNIO KLINGER FILHO & PEDESTRE PRÓX. BORGES DE MEDEIROS, Porto Alegre, RS, Brasil","-30,0394538","-51,2299801"
"APARÍCIO BORGES & CAP. ANDRÉ LAGO PARIS (RUA DO PRESÍDIO), Porto Alegre, RS, Brasil","-30,0708277","-51,1837916"
"APARÍCIO BORGES & ESTAÇÃO 15 NS (EST. CORAG), Porto Alegre, RS, Brasil","-30,068762","-51,187334"
"APARÍCIO BORGES & ESTAÇÃO 15 NS/1 (EST. CORAG), Porto Alegre, RS, Brasil","-30,068762","-51,187334"
"APARÍCIO BORGES & ESTAÇÃO 15 SN (EST. CORAG), Porto Alegre, RS, Brasil","-30,068762","-51,187334"
"APARÍCIO BORGES & ESTAÇÃO 16 NS (EST. REGIMENTO BENTO GONÇALVES), Porto Alegre, RS, Brasil","-30,0662736","-51,186616"
"APARÍCIO BORGES & ESTAÇÃO 16 NS/1 (EST. REGIMENTO BENTO GONÇALVES), Porto Alegre, RS, Brasil","-30,0662736","-51,186616"
"APARÍCIO BORGES & ESTAÇÃO 16 SN (EST. REGIMENTO BENTO GONÇALVES), Porto Alegre, RS, Brasil","-30,0662736","-51,186616"
"APARÍCIO BORGES & ESTAÇÃO 16 SN/1 (EST. REGIMENTO BENTO GONÇALVES), Porto Alegre, RS, Brasil","-30,0662736","-51,186616"
"APARÍCIO BORGES & ESTAÇÃO 17 NS (EST. SÃO MIGUEL), Porto Alegre, RS, Brasil","-30,074764","-51,191375"
"APARÍCIO BORGES & ESTAÇÃO 17 SN (EST. SÃO MIGUEL), Porto Alegre, RS, Brasil","-30,074764","-51,191375"
"APARÍCIO BORGES & ESTAÇÃO 18 NS (EST. ALLAN KARDEC), Porto Alegre, RS, Brasil","-30,0725529","-51,196358"
"APARÍCIO BORGES & ESTAÇÃO 18 NS/1 (EST. ALLAN KARDEC), Porto Alegre, RS, Brasil","-30,073075","-51,195261"
"APARÍCIO BORGES & ESTAÇÃO 18 SN (EST. ALLAN KARDEC), Porto Alegre, RS, Brasil","-30,0713604","-51,1967223"
"APARÍCIO BORGES & ESTAÇÃO 18 SN/1 (EST. ALLAN KARDEC), Porto Alegre, RS, Brasil","-30,073075","-51,195261"
"APARÍCIO BORGES & ESTAÇÃO 19 NS (EST. PEDRO BOTICÁRIO), Porto Alegre, RS, Brasil","-30,0726903","-51,1963021"
"APARÍCIO BORGES & ESTAÇÃO 19 SN (EST. PEDRO BOTICÁRIO), Porto Alegre, RS, Brasil","-30,0726903","-51,1963021"
"APARÍCIO BORGES & ESTAÇÃO 20 CORREDOR (EST. OSCAR PEREIRA), Porto Alegre, RS, Brasil","-29,9973116","-51,1975337"
"APARÍCIO BORGES & ESTAÇÃO 20 NS (EST. OSCAR PEREIRA), Porto Alegre, RS, Brasil","-30,0726903","-51,1963021"
"APARÍCIO BORGES & ESTAÇÃO 20 SN (EST. OSCAR PEREIRA), Porto Alegre, RS, Brasil","-30,0845105","-51,1922636"
"APARÍCIO BORGES & ESTAÇÃO 20 SN/1 (EST. OSCAR PEREIRA), Porto Alegre, RS, Brasil","-30,0726903","-51,1963021"
"APARÍCIO BORGES & MÁRIO DE ARTAGÃO, Porto Alegre, RS, Brasil","-30,0694493","-51,1886106"
"APARÍCIO BORGES & PEDRO BOTICÁRIO, Porto Alegre, RS, Brasil","-30,0735267","-51,1996804"
"APARÍCIO BORGES & SÃO MIGUEL, Porto Alegre, RS, Brasil","-30,0720471","-51,1930323"
"ARY RAMOS DE LIMA & JOÃO SIMPLÍCIO ALVES DE CARVALHO, Porto Alegre, RS, Brasil","-30,019521","-51,160862"
"ARY RAMOS DE LIMA & PEDESTRE Nº 47 (PRÓX. JOÃO SIMPLÍCIO ALVES DE CARVALHO), Porto Alegre, RS, Brasil","-30,0198111","-51,1610824"
"ARY TARRAGÔ & ALBERTO PASQUALINI, Porto Alegre, RS, Brasil","-30,0317245","-51,1346942"
"ARY TARRAGÔ & PEDESTRE Nº 1575 (PRÓX. ESCOLA HELENA SCHNEIDER), Porto Alegre, RS, Brasil","-30,0268229","-51,1316662"
"ARY TARRAGÔ & PEDESTRE Nº 1640 (PRÓX. ESCOLA HELENA SCHNEIDER), Porto Alegre, RS, Brasil","-30,0268229","-51,1316662"
"ARY TARRAGÔ & PEDESTRE Nº 1745 (ESCOLA HELENA SCHNEIDER), Porto Alegre, RS, Brasil","-30,0268229","-51,1316662"
"ARY TARRAGO & PEDESTRE Nº 2080 (PRÓX. KARL IWERS), Porto Alegre, RS, Brasil","-30,0271492","-51,131802"
"ARY TARRAGÔ & PEDESTRE Nº 450 (CONJ. RES. PROTÁSIO ALVES), Porto Alegre, RS, Brasil","-30,0271492","-51,131802"
"ASSIS BRASIL & ABAETÉ, Porto Alegre, RS, Brasil","-29,9946006","-51,1297517"
"ASSIS BRASIL & ALCIDES MAIA, Porto Alegre, RS, Brasil","-29,9909272","-51,1259901"
"ASSIS BRASIL & ANTÔNIO JOAQUIM MESQUITA, Porto Alegre, RS, Brasil","-30,0109472","-51,1622704"
"ASSIS BRASIL & BERNARDI, Porto Alegre, RS, Brasil","-30,0103252","-51,1565215"
"ASSIS BRASIL & BERNARDINO SILVEIRA AMORIM, Porto Alegre, RS, Brasil","-29,9811139","-51,1146428"
"ASSIS BRASIL & BOGOTÁ, Porto Alegre, RS, Brasil","-30,010454","-51,1490557"
"ASSIS BRASIL & CARLOS SILVEIRA MARTINS PACHECO, Porto Alegre, RS, Brasil","-30,0105668","-51,1593177"
"ASSIS BRASIL & CARNEIRO DA FONTOURA, Porto Alegre, RS, Brasil","-30,0117947","-51,1660775"
"ASSIS BRASIL & DONA ALZIRA, Porto Alegre, RS, Brasil","-30,0052175","-51,1379762"
"ASSIS BRASIL & EDUARDO CHARTIER, Porto Alegre, RS, Brasil","-30,0085949","-51,1807313"
"ASSIS BRASIL & ESTAÇÃO 02 BC (EST. CEL. FEIJÓ), Porto Alegre, RS, Brasil","-29,9947405","-51,1301741"
"ASSIS BRASIL & ESTAÇÃO 02 BC/1 (ESTAÇÃO CEL. FEIJÓ), Porto Alegre, RS, Brasil","-30,0082749","-51,1815382"
"ASSIS BRASIL & ESTAÇÃO 02 CB (EST. CEL. FEIJÓ), Porto Alegre, RS, Brasil","-30,0146469","-51,1817134"
"ASSIS BRASIL & ESTAÇÃO 04 BC (EST. OBIRICI), Porto Alegre, RS, Brasil","-30,010423","-51,1703239"
"ASSIS BRASIL & ESTAÇÃO 04 CB (EST. OBIRICI), Porto Alegre, RS, Brasil","-30,010423","-51,1703239"
"ASSIS BRASIL & ESTAÇÃO 05 BC (ESTAÇÃO CENTRO COMERCIAL), Porto Alegre, RS, Brasil","-29,9947405","-51,1301741"
"ASSIS BRASIL & ESTAÇÃO 05 BC/1 (ESTAÇÃO CENTRO COMERCIAL), Porto Alegre, RS, Brasil","-29,9947405","-51,1301741"
"ASSIS BRASIL & ESTAÇÃO 05 CB (EST. CENTRO COMERCIAL), Porto Alegre, RS, Brasil","-29,979748","-51,111574"
"ASSIS BRASIL & ESTAÇÃO 05 CB/1 (EST. CENTRO COMERCIAL), Porto Alegre, RS, Brasil","-29,979748","-51,111574"
"ASSIS BRASIL & ESTAÇÃO 06 BC (ESTAÇÃO CRISTO REDENTOR), Porto Alegre, RS, Brasil","-30,0105346","-51,1571071"
"ASSIS BRASIL & ESTAÇÃO 06 CB (ESTAÇÃO CRISTO REDENTOR), Porto Alegre, RS, Brasil","-30,0105332","-51,1511035"
"ASSIS BRASIL & ESTAÇÃO 06 CB/1 (ESTAÇÃO CRISTO REDENTOR), Porto Alegre, RS, Brasil","-30,0105346","-51,1571071"
"ASSIS BRASIL & ESTAÇÃO 07 BC (ESTAÇÃO LINDÓIA), Porto Alegre, RS, Brasil","-30,0098177","-51,1517623"
"ASSIS BRASIL & ESTAÇÃO 07 BC/1 (ESTAÇÃO LINDÓIA), Porto Alegre, RS, Brasil","-30,0098177","-51,1517623"
"ASSIS BRASIL & ESTAÇÃO 07 CB (ESTAÇÃO LINDÓIA), Porto Alegre, RS, Brasil","-30,0098177","-51,1517623"
"ASSIS BRASIL & ESTAÇÃO 07 CB/1 (ESTAÇÃO LINDÓIA), Porto Alegre, RS, Brasil","-30,0098177","-51,1517623"
"ASSIS BRASIL & FERNANDO FERRARI, Porto Alegre, RS, Brasil","-29,976479","-51,1148158"
"ASSIS BRASIL & FORTE, DO, Porto Alegre, RS, Brasil","-30,0104824","-51,1533013"
"ASSIS BRASIL & FRANCISCO SILVEIRA BITENCOURT, Porto Alegre, RS, Brasil","-29,9937269","-51,1292184"
"ASSIS BRASIL & FREDERICO DAHNE, Porto Alegre, RS, Brasil","-30,0043368","-51,1367626"
"ASSIS BRASIL & JOAQUIM SILVEIRA (TRIÂNGULO), Porto Alegre, RS, Brasil","-30,0096137","-51,1428754"
"ASSIS BRASIL & LUZITANA, Porto Alegre, RS, Brasil","-30,0081703","-51,1843119"
