id,situacao,nome,geojson,acidentes_10m,acidentes_20m,acidentes_50m,acidentes_100m,acidentes_200m
28,CONCLUIDO,JOAO ANTONIO SILVEIRA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.1475150755937,-30.1594656568816],[-51.1474109743948,-30.1593744410199]]]}",0,0,1,1,1
29,CONCLUIDO,JOAO ANTONIO SILVEIRA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.144741129624,-30.1572711090093],[-51.1443050730086,-30.1568735563538]]]}",0,0,0,0,1
30,CONCLUIDO,JOAO ANTONIO SILVEIRA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.1468211011346,-30.1589511353636],[-51.1462390964453,-30.1585808141924],[-51.146009026924,-30.1584153175355],[-51.1455431237269,-30.1580223122869]]]}",0,0,0,1,1
31,CONCLUIDO,JOAO ANTONIO SILVEIRA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.1504798888326,-30.1629431030491],[-51.1489260085758,-30.1612050326919],[-51.1484030323627,-30.1604084324805],[-51.1475150755937,-30.1594656568816]]]}",0,0,0,1,1
32,CONCLUIDO,JOAO ANTONIO SILVEIRA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.1515549967703,-30.1639341283128],[-51.1513400300643,-30.1637945579396],[-51.1510439605125,-30.1635457057235],[-51.1504798888326,-30.1629431030491]]]}",0,0,0,0,0
33,CONCLUIDO,JOAO ANTONIO SILVEIRA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.1529858968462,-30.1647555942358],[-51.152808981222,-30.1646802533732],[-51.152515953036,-30.1645148416374],[-51.1515549967703,-30.1639341283128]]]}",0,0,0,0,0
34,CONCLUIDO,JOAO ANTONIO SILVEIRA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.1545458381589,-30.1655236495088],[-51.1539587691665,-30.165131065039],[-51.1536679006825,-30.1650006081157],[-51.1529908158867,-30.1647555885007]]]}",0,0,0,0,1
35,CONCLUIDO,LOUREIRO DA SILVA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.2227395944493,-30.0349727792711],[-51.2223615666247,-30.034935122203]]]}",0,0,0,2,2
36,CONCLUIDO,JUSCELINO KUBITSCHEK DE OLIVEIRA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.1098465429788,-30.0208570820081],[-51.1083105781166,-30.020975625171]]]}",0,0,0,0,0
37,CONCLUIDO,DR NILO PECANHA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.1772974152286,-30.0283913685329],[-51.1744424094904,-30.0275788073046]]]}",0,0,0,0,0
38,CONCLUIDO,LOUREIRO DA SILVA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.2247584193521,-30.0357508074901],[-51.2244035625186,-30.0354199015456]]]}",0,0,0,0,2
39,CONCLUIDO,JUSCELINO KUBITSCHEK DE OLIVEIRA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.113873402952,-30.0200406622368],[-51.1129194174128,-30.0203188725373]]]}",0,0,0,0,1
