Endereco_detalhado,Lat,Lng,acidentes_10m,acidentes_20m,acidentes_50m,acidentes_100m,acidentes_200m,acidentes_500m,acidentes_1000m
"Av. Edgar Pires de Castro DF  9349 , Porto Alegre, RS, Brasil",-30.156370799999998,-51.186089200000005,0,0,0,0,9,30,73
"Av. Eduardo Prado  1370 , Porto Alegre, RS, Brasil",-30.130784999999996,-51.218022,1,1,2,7,10,27,76
"Av. Eduardo Prado 1270 , Porto Alegre, RS, Brasil",-30.129737,-51.218368,0,0,0,2,8,25,84
"Av. Ipiranga 2860 , Porto Alegre, RS, Brasil",-30.044385100000003,-51.1987977,0,1,6,12,42,131,517
"Av. Ipiranga 8185 , Porto Alegre, RS, Brasil",-30.057897600000004,-51.1552224,0,0,1,2,8,32,234
"Av. Ipiranga 8185 , Porto Alegre, RS, Brasil",-30.057897600000004,-51.1552224,0,0,1,2,8,32,234
"Av. João de Oliveira Remião,  5989 , Porto Alegre, RS, Brasil",-30.119889,-51.10846779999999,1,1,2,3,7,14,27
"Av. João de Oliveira Remião,  5740 , Porto Alegre, RS, Brasil",-30.1169766,-51.1086247,0,0,0,3,6,15,36
"Av. Juca Batista 2918 , Porto Alegre, RS, Brasil",-30.1499271,-51.2017681,0,0,3,5,8,27,60
"Av. Juca Batista 3378 , Porto Alegre, RS, Brasil",-30.153863899999997,-51.1999166,0,0,0,6,10,34,70
"Av. Juca Batista 8455 , Porto Alegre, RS, Brasil",-30.190428000000004,-51.175055,0,0,0,0,0,1,4
"Av. Juca Batista 8455 , Porto Alegre, RS, Brasil",-30.190428000000004,-51.175055,0,0,0,0,0,1,4
"Av. Manoel Elias  768 , Porto Alegre, RS, Brasil",-30.0220525,-51.119658,0,0,6,8,14,39,110
"Av. Manoel Elias  1790 , Porto Alegre, RS, Brasil",-30.031258299999998,-51.1208428,0,0,4,7,14,28,100
"Av. Manoel Elias 1800 , Porto Alegre, RS, Brasil",-30.031425,-51.120836100000005,0,0,3,8,14,28,102
"Av. Nonoai  849 , Porto Alegre, RS, Brasil",-30.0907695,-51.220040399999995,0,0,2,3,10,57,153
"Av. Padre Cacique 1804 , Porto Alegre, RS, Brasil",-30.0766361,-51.2437996,0,0,0,8,13,38,101
